Year,Month,Holiday_Count
2018,1,9
2018,2,10
2018,3,10
2018,4,9
2018,5,9
2018,6,9
2018,7,9
2018,8,8
2018,9,12
2018,10,10
2018,11,8
2018,12,11
2019,1,9
2019,2,11
2019,3,11
2019,4,8
2019,5,8
2019,6,10
2019,7,8
2019,8,9
2019,9,11
2019,10,10
2019,11,9
2019,12,10
2020,1,10
2020,2,9
2020,3,9
2020,4,9
2020,5,11
2020,6,8
2020,7,8
2020,8,10
2020,9,9
2020,10,12
2020,11,9
2020,12,9
2021,1,11
2021,2,10
2021,3,9
2021,4,8
2021,5,12
2021,6,8
2021,7,9
2021,8,9
2021,9,11
2021,10,10
2021,11,8
2021,12,8
2022,1,11
2022,2,10
2022,3,9
2022,4,9
2022,5,10
2022,6,8
2022,7,10
2022,8,8
2022,9,9
2022,10,11
2022,11,8
2022,12,9
2023,1,10
2023,2,8
2023,3,9
2023,4,10
2023,5,9
2023,6,8
2023,7,10
2023,8,8
2023,9,11
2023,10,11
2023,11,8
2023,12,11
2024,1,9
2024,2,9
2024,3,11
2024,4,8
2024,5,9
2024,6,10
2024,7,8
2024,8,9
2024,9,12
2024,10,10
2024,11,9
2024,12,10
2025,1,12
2025,2,8
2025,3,10
2025,4,8
2025,5,11
2025,6,9
2025,7,8
2025,8,10
2025,9,8
2025,10,12
2025,11,10
2025,12,9
2026,1,10
2026,2,11
2026,3,9
2026,4,8
2026,5,11
2026,6,8
2026,7,8
2026,8,10
2026,9,11
2026,10,10
2026,11,9
2026,12,9
2027,1,11
2027,2,9
2027,3,9
2027,4,8
2027,5,12
2027,6,8
2027,7,9
2027,8,9
2027,9,10
2027,10,10
2027,11,8
2027,12,8
